WbanNumber,YearMonthDay,MaxTemp,MinTemp,AvgTemp,DepfromNormal,AvgDewPt,AvgWetBulb,HeatingDegreeDays,CoolingDegreeDays,SignificantWeather,Snow/IceDepth,Snow/IceWaterEquiv,PrecipitationSnowfall,PrecipitationWaterEquiv,PressueAvgStation,PressureAvgSeaLevel,WindSpeed,WindDirection,WindAvgSpeed,Max5secspeed,Max5secDir,Max2minspeed,Max2minDir
03013,20000301,65,34,50,50,26,40,15,0,-,M,-,M,T,26.18,30.00,14.1,18,15.9,46,20,36,20
03013,20000302,48,32,40,40,34,35,25,0,RASNFG+FG,M,-,M,0.20,26.16,30.00,10.0,6,13.1,26,3,22,2
03013,20000303,55,33,44,44,33,38,21,0,-,M,-,M,0.00,26.26,30.15,2.7,29,7.5,17,32,16,31
03013,20000304,68,24,46,46,33,39,19,0,-,M,-,M,0.00,26.10,29.90,1.2,11,5.3,18,28,13,14
03013,20000305,76,26,51,51,29,39,14,0,FG,M,-,M,0.00,25.86,30.25,9.8,20,13.3,49,22,40,22
03013,20000306,77,29,53,53,27,42,12,0,-,M,-,M,0.00,25.96,29.73,12.4,19,13.6,37,20,31,19
03013,20000307,70,38,54,54,46,50,11,0,TSTSRAFGVCTS,M,-,M,0.04,25.81,30.99,12.4,16,15.1,43,23,33,23
03013,20000308,65,27,46,46,28,40,19,0,-,M,-,M,0.01,25.97,30.35,7.7,32,13.7,40,31,32,31
03013,20000309,56,26,41,41,28,35,24,0,HZ,M,-,M,0.00,26.18,30.01,9.8,12,10.8,30,11,26,11
03013,20000310,36,24,30,30,30,31,35,0,SNFG+FG,M,-,M,0.09,26.29,30.18,2.6,5,8.2,17,36,15,11
03013,20000311,54,16,35,35,24,31,30,0,-,M,-,M,0.00,26.32,30.25,3.6,15,8.3,21,14,16,13
03013,20000312,56,25,41,41,27,34,24,0,-,M,-,M,0.00,26.26,30.11,5.3,1,9.2,26,36,21,3
03013,20000313,61,21,41,41,28,35,24,0,-,M,-,M,0.00,26.25,30.09,5.1,15,6.8,23,15,20,15
03013,20000314,63,24,44,44,31,37,21,0,FG,M,-,M,0.00,26.11,29.94,1.9,15,7.8,22,3,18,4
03013,20000315,59,27,43,43,30,38,22,0,SNFGFZFG,M,-,M,0.04,26.10,29.90,13.1,5,15.5,38,5,33,6
03013,20000316,41,23,32,32,24,27,33,0,SNFGFZFG,M,-,M,0.02,26.33,30.25,4.7,3,8.6,29,2,23,3
03013,20000317,46,21,34,34,27,31,31,0,SNFG,M,-,M,0.01,26.15,30.02,11.4,13,12.9,32,15,26,14
03013,20000318,48,28,38,38,30,34,27,0,SNFG,M,-,M,0.02,26.20,30.06,11.4,35,14.6,45,35,36,36
03013,20000319,66,18,42,42,22,34,23,0,-,M,-,M,0.00,26.01,29.85,4.5,17,8.8,22,15,18,15
03013,20000320,52,30,41,41,29,34,24,0,RAFG,M,-,M,T,25.91,30.46,12.8,3,14.5,31,2,28,3
03013,20000321,38,28,33,33,34,35,32,0,RASNFG,M,-,M,0.19,26.30,30.19,7.8,3,8.7,22,3,18,3
